Training Step,Reward,Value Error
12500,-6.650919999999999,5524038.93119812
25000,-3.65716,4083938.864671707
37500,-4.047219999999999,2956518.849340439
50000,-3.6136,2395029.35365963
62500,-3.68092,2386300.7048797607
75000,-3.74428,2374190.9647216797
87500,-3.3661,2342586.5694208145
100000,-3.28888,2239675.2477755547
112500,-3.09088,2108762.2375888824
125000,-2.9126799999999995,1994829.3506760597
137500,-2.85526,1825549.6578817368
150000,-2.88694,1738144.0147554874
162500,-2.3761,1606148.1637852192
175000,-2.4533199999999997,1466097.1070799232
187500,-2.16028,1304244.812216282
200000,-2.05732,1194294.7119097412
212500,-1.9444599999999999,1055556.708039999
225000,-1.73062,924625.700250566
237500,-1.54054,779300.5895622373
250000,-1.43758,614249.1551036239
262500,-1.3564,504385.0096334517
275000,-1.30492,421543.5952953696
287500,-1.33264,385526.51443880796
300000,-1.3168,379475.14064121246
312500,-1.34452,370551.1588328481
325000,-1.3366,375859.1461760998
337500,-1.35244,388862.0198827982
350000,-1.34056,393066.98011374474
362500,-1.28512,393126.66758167744
375000,-1.35838,378554.7613453865
387500,-1.3267,375839.42677140236
400000,-1.32472,384644.22351515293
412500,-1.32076,372686.58491802216
425000,-1.3267,381424.1600641012
437500,-1.38016,402811.0080446005
450000,-1.35046,403376.8583821058
462500,-1.35046,395654.9642084837
475000,-1.3326399999999998,403979.4081814885
487500,-1.36828,391504.1817109585
500000,-1.29898,387814.87891972065
