Training Step,Reward,Value Error
12500,-6.3262,5300911.928686524
25000,-4.848328,4544636.158493614
37500,-4.530736,3941328.4207279203
50000,-3.664816,2936346.189336967
62500,-3.77596,2474374.164961751
75000,-3.673792,2358693.7067464194
87500,-3.566608,2365450.876928838
100000,-3.4282719999999998,2301082.919616254
112500,-3.265912,2206277.347266547
125000,-3.085336,2095470.9530074436
137500,-2.913472,1961886.036682288
150000,-2.791768,1828476.2349330902
162500,-2.6302,1698847.6851400852
175000,-2.493448,1578792.4232803744
187500,-2.316832,1445168.0900135597
200000,-2.211232,1316696.575543932
212500,-2.0512479999999997,1190706.4375651719
225000,-1.886776,1061451.8185475469
237500,-1.7193999999999996,916042.1337660234
250000,-1.572088,766497.4806508223
262500,-1.4514399999999998,630140.7409805179
275000,-1.3735600000000001,516518.5950129072
287500,-1.3321120000000002,435596.2973583897
300000,-1.317328,391498.4964441299
312500,-1.3247200000000001,374981.501252834
325000,-1.3289440000000001,375366.75217042764
337500,-1.347688,380133.07902850304
350000,-1.3355439999999998,382372.67635505996
362500,-1.3289440000000001,380961.96780832607
375000,-1.328416,377937.28951967554
387500,-1.336336,380845.95212158357
400000,-1.3495359999999998,388259.8623175859
412500,-1.338976,390915.3646869024
425000,-1.3302640000000001,389370.54395363334
437500,-1.332904,385395.9304146608
450000,-1.3527040000000001,388394.89563635195
462500,-1.37092,396152.4925947666
475000,-1.3659040000000002,406014.77878350415
487500,-1.358776,409676.56006224157
500000,-1.3461040000000002,408686.510404412
