Training Step,Reward,Value Error
12500,0.3893104981887851,429356.69350067154
25000,0.19323014671629266,347245.67896602885
37500,0.17036056233764893,136584.92019233774
50000,0.20969312435079984,149075.7232277381
62500,0.05086712101151392,97251.72509202994
75000,0.08502480579219211,97130.84495372036
87500,0.2848104569709476,40917.9088796742
100000,0.13145768596776694,88285.55715815387
112500,0.13752094240514787,117864.21072133657
125000,0.10394528560738092,74320.21053634655
137500,0.19619991743117526,41317.459758233614
150000,0.22778607068914458,103156.34239879735
162500,0.11765599177262501,131068.60310557124
175000,0.24285489000635746,84594.98868041941
187500,0.05327635122641193,74601.14055304804
200000,0.113742340401453,95099.25235710335
212500,0.14004913851930684,50129.55737434026
225000,0.11845299320827651,74181.38946401217
237500,0.07003156716795647,74147.80418450762
250000,0.02983170796317233,54389.30211904632
262500,0.08801539865273572,26866.61866294728
275000,0.016327498277445975,23833.050278318224
287500,0.06057635182148222,21570.677059505026
300000,0.03839362447073732,15232.818717852784
312500,0.023427675941074443,20009.97722809014
325000,0.053861823214592326,19703.394124485163
337500,0.04930160240803543,19760.85140892028
350000,0.02909993814426413,32937.34696620685
362500,0.020192117273827418,28035.377114743806
375000,0.06220478116672376,3785.109819898478
387500,0.05113615941777397,20587.72071370735
400000,0.06211017307977819,22135.03966124293
412500,0.055298390573324925,10071.71929417651
425000,0.04698068965011055,30118.936601252477
437500,0.04480228565597963,27374.959281335432
450000,0.04167417905610134,18836.91467926866
462500,0.08808218662135947,30479.252576049446
475000,0.08173347906457915,55620.92961863479
487500,0.0649488290887526,48944.432083084954
500000,0.04764358928544324,28295.696766670048
