Training Step,Steps,Reward
0,98.71,-777.8500000000001
25000,95.27250000000001,-435.3375000000001
50000,93.55333333333333,-320.2633333333334
75000,87.18,-87.50999999999999
100000,84.76333333333334,-84.76333333333334
125000,80.43833333333333,-80.43833333333333
150000,80.375,-80.375
175000,76.16833333333334,-76.16833333333334
200000,74.34500000000001,-74.34500000000001
225000,73.25,-73.25
250000,71.555,-71.555
275000,71.46,-71.46
300000,70.03333333333333,-70.03333333333333
325000,72.45,-73.93500000000002
350000,72.35333333333334,-74.33333333333334
375000,70.36166666666666,-73.66166666666668
400000,67.72333333333333,-69.86833333333334
425000,66.98166666666667,-72.26166666666667
450000,68.405,-73.35499999999999
475000,68.09833333333334,-75.19333333333333
500000,67.59666666666666,-76.17666666666666
