Training Step,Reward,Value Error
12500,-4.58776,3265220.1114234924
25000,-4.37392,2956882.609025955
37500,-4.4056,2913021.39560318
50000,-3.78784,2816171.410800934
62500,-3.70072,2667550.7689266205
75000,-3.62944,2434718.964217663
87500,-3.178,2240008.318004608
100000,-3.35224,2144178.8494440317
112500,-3.27304,2087651.5951504707
125000,-3.04336,2043561.5688483715
137500,-2.99584,1869832.4200280905
150000,-2.36224,1764902.4533047676
162500,-2.37016,1577305.493307352
175000,-2.23552,1471327.957383871
187500,-2.07712,1346644.3496220112
200000,-2.33848,1192498.617950797
212500,-1.86328,1108396.5898700953
225000,-1.79992,1018298.6125850677
237500,-1.68112,870006.5207519531
250000,-1.396,700072.9903142452
262500,-1.34848,539916.021633029
275000,-1.26928,449885.8766773939
287500,-1.34056,407851.43773067
300000,-1.34056,449309.78174841404
312500,-1.42768,503153.56745541096
325000,-1.3564,490142.32678699493
337500,-1.34056,426456.1492137909
350000,-1.3168,369490.29779934883
362500,-1.32472,364360.1208498478
375000,-1.33264,408950.6544293165
387500,-1.30096,401181.22904515266
400000,-1.36432,400294.22683525085
412500,-1.30888,372431.5310540199
425000,-1.32472,367755.93985795975
437500,-1.29304,345868.499314785
450000,-1.26928,385142.1622065306
462500,-1.41184,375513.95096993446
475000,-1.34848,366796.294172287
487500,-1.38808,439236.85456109047
500000,-1.26928,481380.55314683914
