Training Step,Reward,Value Error
12500,0.44993965419375953,505871.02202830056
25000,0.44197493656667997,423545.7395111205
37500,0.4105865428600712,376418.9141006119
50000,0.35389994020207344,280984.4290421912
62500,0.28640461293607344,219620.8304511363
75000,0.25377833005520906,186727.5490078677
87500,0.17734801569229455,160571.5092307046
100000,0.1851205775049174,139760.88020020086
112500,0.18864019229310788,93145.78416706972
125000,0.21578215230682987,63528.12108349162
137500,0.19676088333871258,52663.119017951416
150000,0.13709090855041514,76506.4715444666
162500,0.14423934458671506,90084.70069378633
175000,0.09618749031742285,94694.46882694056
187500,0.1174080241115902,73439.77306532157
200000,0.1032372819997801,58273.007254013646
212500,0.11029677613968429,56644.91213312165
225000,0.09708284417842934,60186.31772295213
237500,0.07884236328273621,65785.40443204874
250000,0.07433075291749115,60922.15319105973
262500,0.053371235810308726,55699.69756458711
275000,0.0520610932217446,44685.32091738962
287500,0.04526510838100084,34594.625765999976
300000,0.04522580809272964,27147.067743094114
312500,0.041317208317892345,25432.89690278802
325000,0.040450821643012676,26477.036646393677
337500,0.041254478841542284,27096.716643949094
350000,0.05116619257044189,27498.87296427306
362500,0.0486447958811893,25788.871689078504
375000,0.046883967756596846,24419.081701904728
387500,0.03501675605274817,21787.307474172252
400000,0.04172388389577545,20609.243999068403
412500,0.046183587876799326,24405.975894307147
425000,0.048035615330948835,24085.65603695089
437500,0.039701607024256715,22563.611083310127
450000,0.03606065601375629,15793.613476120858
462500,0.03376637850811018,16669.491030732308
475000,0.041082716017134015,19156.487116942786
487500,0.038788793754266186,24778.9823059508
500000,0.0449828311482544,23581.722409732145
