Training Step,Reward,Value Error
12500,-9.06256,8501105.710906982
25000,-3.17008,5358995.97089386
37500,-3.93832,3280986.523548126
50000,-3.59776,2237911.7957959175
62500,-3.78784,2478719.64529711
75000,-4.10464,2503979.1847076416
87500,-3.52648,2564435.8570404053
100000,-3.02752,2369776.7666015625
112500,-2.87704,2159776.7426629066
125000,-3.28096,2034325.861193657
137500,-3.32848,2078062.3592989445
150000,-3.03544,2127778.75665617
162500,-2.60776,1985801.2878565788
175000,-2.64736,1752983.3066112995
187500,-2.44144,1563976.7916891575
200000,-2.13256,1403382.0202395916
212500,-1.90288,1179189.8943881989
225000,-1.84744,1037859.4382910728
237500,-1.7524,939022.9331729412
250000,-1.5148,816659.8017497063
262500,-1.32472,658504.0144600868
275000,-1.3168,497822.79655885696
287500,-1.38016,406882.9138484001
300000,-1.34848,435071.17314600945
312500,-1.36432,450572.4406428337
325000,-1.3564,442709.4786698818
337500,-1.29304,433815.5349802971
350000,-1.396,447888.2230334282
362500,-1.25344,455705.97961235046
375000,-1.26928,420012.7723894119
387500,-1.37224,413979.8241689205
400000,-1.38808,453332.69337558746
412500,-1.33264,474381.5099141598
425000,-1.33264,456482.0035095215
437500,-1.3168,424524.8417170048
450000,-1.26928,428217.06442046165
462500,-1.32472,439911.36767840385
475000,-1.25344,400919.86242604256
487500,-1.36432,395408.83054828644
500000,-1.38808,442044.7846713066
