Training Step,Reward,Value Error
12500,-10.36144,0.0
25000,-11.32768,0.0
37500,-10.97128,0.0
50000,-11.43064,0.0
62500,-11.18512,0.0
75000,-10.702,0.0
87500,-10.48816,0.0
100000,-11.09008,0.0
112500,-10.98712,0.0
125000,-10.83664,0.0
137500,-11.00296,0.0
150000,-10.43272,0.0
162500,-10.76536,0.0
175000,-11.31976,0.0
187500,-11.09008,0.0
200000,-10.63864,0.0
212500,-11.00296,0.0
225000,-10.97128,0.0
237500,-11.05048,0.0
250000,-10.9,0.0
262500,-10.55152,0.0
275000,-11.1772,0.0
287500,-10.8208,0.0
300000,-10.504,0.0
312500,-11.02672,0.0
325000,-11.5732,0.0
337500,-11.098,0.0
350000,-11.05048,0.0
362500,-10.98712,0.0
375000,-10.90792,0.0
387500,-10.51192,0.0
400000,-10.92376,0.0
412500,-10.51984,0.0
425000,-11.01088,0.0
437500,-11.31184,0.0
450000,-10.39312,0.0
462500,-11.3752,0.0
475000,-10.83664,0.0
487500,-10.59904,0.0
500000,-10.94752,0.0
