Training Step,Reward,Value Error
12500,-6.576472,5582629.257720684
25000,-3.3522400000000006,4207000.749308014
37500,-3.4005520000000002,2782411.5024013044
50000,-3.8820880000000004,2118127.594955012
62500,-3.986632,2364298.962590584
75000,-3.8892160000000002,2585792.00397861
87500,-3.678544000000001,2583564.324895668
100000,-3.4868800000000006,2485745.7622655868
112500,-3.432232,2402571.721196604
125000,-3.1684959999999993,2295306.6279415847
137500,-3.029104,2181791.1816348555
150000,-2.811304,2037507.538009286
162500,-2.755864,1887562.6349637986
175000,-2.430352,1729541.8950455666
187500,-2.3147200000000003,1547877.459811449
200000,-2.161072,1389595.763460946
212500,-1.9480239999999998,1247981.2592244626
225000,-1.8434800000000002,1089486.403150153
237500,-1.654192,933269.9398192882
250000,-1.4617359999999997,786779.7950137139
262500,-1.379368,623597.0422988177
275000,-1.365904,511120.84242959024
287500,-1.358776,479390.55793161393
300000,-1.351648,476299.5761498928
312500,-1.343728,463374.6245625019
325000,-1.3564,466332.1678222179
337500,-1.335016,465571.92761108873
350000,-1.343728,466828.1262825251
362500,-1.3492719999999998,468163.8691906929
375000,-1.330264,461003.5339483976
387500,-1.3595679999999999,465288.69613206387
400000,-1.349272,470113.3120385885
412500,-1.3643199999999998,469683.4126736879
425000,-1.3358079999999999,463304.4329063654
437500,-1.338184,465678.8773732662
450000,-1.3579839999999999,467350.9932464838
462500,-1.326304,460679.7967179775
475000,-1.3492719999999998,462640.21079511644
487500,-1.335808,459062.2907888174
500000,-1.3461040000000002,460396.5941429138
