Training Step,Reward,Value Error
12500,1.752080329281737,2113573.3722330346
25000,0.9486065568620614,1607411.377220624
37500,0.7380865092969605,1195006.6167936102
50000,0.2981681900261219,545551.130897354
62500,0.34283289991259713,262390.7225697835
75000,0.3194815226697228,207393.60895253994
87500,0.24561691233280594,208034.40211221264
100000,0.20299791652798968,171308.41778929974
112500,0.21963335794614028,140052.55288310957
125000,0.2266454924873189,137445.23306965586
137500,0.24443234541511896,139325.84394295866
150000,0.19697050664988902,146287.21984714377
162500,0.15600948493928737,127724.59655800964
175000,0.14108810077103734,103158.7442097717
187500,0.1280589636205285,88434.71969263814
200000,0.1256589720925883,74900.46867930666
212500,0.10107344191902538,61900.29181561945
225000,0.08431211529971848,51451.22686667933
237500,0.07346844440789946,48404.60450449745
250000,0.07811812567308798,51882.36997382739
262500,0.07955357897038945,49503.12077775716
275000,0.07596679961235367,46043.582393677796
287500,0.05284195455687448,43173.40573337208
300000,0.04855336464481935,36917.31285827931
312500,0.04170572689403528,30879.272783130553
325000,0.05458329965286668,26739.248675795865
337500,0.05335528610215173,28141.070239524397
350000,0.06129653196529564,29758.86965158553
362500,0.06268603552670506,29828.39776719805
375000,0.06379728599635671,22932.31704473469
387500,0.05836799552540526,23072.5577989696
400000,0.0511623162461953,23991.166950877745
412500,0.05310486839970797,31884.18622647686
425000,0.05585021717510765,32148.03061190856
437500,0.05538439407106355,32701.11100012332
450000,0.050747652383721496,29337.206945767175
462500,0.051645334704011836,23617.607521483147
475000,0.04783288701159244,18604.90240898887
487500,0.05220514460916109,16065.800016077059
500000,0.04570572909971352,23315.33327284975
