Training Step,Reward,Value Error
12500,-7.04296,6258390.700469971
25000,-3.68488,4285588.279922485
37500,-4.366,3046501.7016296387
50000,-3.7324,2462361.615234375
62500,-3.56608,2503818.476207733
75000,-3.8116,2378788.991630554
87500,-3.43936,2374714.5518112183
100000,-3.19384,2300687.1899147034
112500,-2.7424,2037391.7526302338
125000,-2.87704,1810559.8116092682
137500,-2.53648,1664959.6246242523
150000,-2.61568,1620832.2796535492
162500,-2.49688,1503242.064716339
175000,-2.2276,1466079.9438800812
187500,-2.20384,1330933.6366095543
200000,-2.1088,1189199.4456005096
212500,-1.95832,1087231.7982342243
225000,-1.74448,966429.5327241421
237500,-1.52272,779932.1316115856
250000,-1.36432,588650.7328996658
262500,-1.3168,447102.7714970112
275000,-1.33264,362716.15153217316
287500,-1.29304,349182.11708521843
300000,-1.2772,352927.8725643158
312500,-1.29304,377874.01852726936
325000,-1.34056,375241.4794847965
337500,-1.38808,384628.3022081852
350000,-1.45144,440269.30083990097
362500,-1.396,465071.98549342155
375000,-1.30888,440306.3223757744
387500,-1.2772,393153.1929895878
400000,-1.33264,353852.1111295223
412500,-1.36432,372837.2530581951
425000,-1.36432,387888.8534975052
437500,-1.28512,381513.99984049797
450000,-1.32472,393555.4053184986
462500,-1.21384,381824.067950964
475000,-1.22968,338162.1543357372
487500,-1.36432,321725.1716310978
500000,-1.2772,372277.6973502636
