Training Step,Reward,Value Error
12500,-8.43688,7284664.447097778
25000,-3.178,5577431.620933533
37500,-2.96416,3203972.379753113
50000,-3.46312,1847683.2767086923
62500,-4.3264,2069225.8824415207
75000,-4.04128,2533196.002316475
87500,-4.09672,2677183.813099146
100000,-2.89288,2412806.3853416443
112500,-3.15424,2144576.4872071743
125000,-2.97208,2004496.1626825333
137500,-3.0592,2072864.91142869
150000,-2.97208,2050587.334743023
162500,-2.67904,1880369.7006947994
175000,-2.6236,1709150.7847840786
187500,-2.32264,1509632.6984257698
200000,-2.05336,1341024.5317823887
212500,-2.07712,1131393.1960942745
225000,-1.89496,1085731.8721737862
237500,-1.64152,1010056.4010145664
250000,-1.44352,778502.1034219265
262500,-1.26136,536957.5203707218
275000,-1.45936,478366.5996861458
287500,-1.42768,500722.97152376175
300000,-1.46728,536638.0090184212
312500,-1.41184,565274.6785464287
325000,-1.3564,541851.1431891918
337500,-1.34848,515202.1795890331
350000,-1.22968,456731.4156663418
362500,-1.32472,427405.5662639141
375000,-1.30096,417238.61160612106
387500,-1.30888,422467.7036681175
400000,-1.38808,421643.6798262596
412500,-1.34848,447912.6377296448
425000,-1.41184,494098.73649954796
437500,-1.41184,523155.02599453926
450000,-1.28512,509016.5104739666
462500,-1.26928,451603.024358511
475000,-1.24552,400812.67776203156
487500,-1.3168,424396.9261186123
500000,-1.29304,427745.72300577164
