Training Step,Steps,Reward
0,21.345,0.005
50000,31.147499999999997,0.18000000000000002
100000,34.24333333333333,0.3216666666666667
150000,40.03666666666667,0.545
200000,41.025,0.6516666666666667
250000,41.215,0.67
300000,41.195,0.6383333333333333
350000,38.59666666666667,0.6183333333333333
400000,39.92,0.615
450000,40.86333333333333,0.6383333333333333
500000,44.46333333333333,0.6349999999999999
550000,45.01666666666666,0.625
600000,45.903333333333336,0.6499999999999999
650000,45.63,0.6716666666666665
700000,45.21666666666666,0.695
750000,44.71666666666666,0.7150000000000002
800000,44.69499999999999,0.7366666666666667
850000,43.84166666666667,0.7516666666666666
900000,43.56166666666667,0.7133333333333334
950000,42.37,0.6966666666666668
1000000,41.355,0.685
