Training Step,Steps,Reward
0,13.959999999999999,0.015000000000000003
50000,38.69,0.13
100000,33.394999999999996,0.29
150000,32.714999999999996,0.4600000000000001
200000,33.644999999999996,0.43499999999999994
250000,40.6,0.5650000000000001
300000,40.49999999999999,0.525
350000,40.529999999999994,0.61
400000,45.0,0.62
450000,44.88999999999999,0.595
500000,48.769999999999996,0.62
550000,46.79,0.65
600000,41.845000000000006,0.5200000000000001
650000,44.63,0.645
700000,41.53,0.6950000000000001
750000,41.394999999999996,0.655
800000,49.83,0.6799999999999999
850000,45.76,0.64
900000,44.11,0.7449999999999999
950000,45.205,0.65
1000000,38.06999999999999,0.6799999999999999
