Training Step,Reward,Value Error
25000,102.0,137.8700281002093
50000,104.0,142.87436352972873
75000,146.0,148.05760179666686
100000,141.0,179.15041527547874
125000,169.0,185.38282329257345
150000,219.0,199.02025146933738
175000,202.0,194.98644213471562
200000,241.0,178.66175711667165
225000,260.0,178.25346258375794
250000,325.0,167.6174022812629
275000,323.0,174.61457417486235
300000,333.0,156.21677913540043
325000,332.0,150.15035118936794
350000,354.0,150.6402066181181
375000,326.0,155.96841288288124
400000,318.0,164.21780406311154
425000,349.0,158.24846100865398
450000,313.0,155.69829361943994
475000,313.0,147.10245011397637
500000,359.0,146.2707435110351
525000,355.0,151.15095499285962
550000,370.0,147.18902884959243
575000,390.0,151.9027765695937
600000,342.0,151.3793348474428
625000,362.0,145.71968439116608
650000,383.0,151.0753216643352
675000,358.0,145.2347286059521
700000,341.0,142.3178976929048
725000,384.0,151.08983785990858
750000,349.0,150.7964794113068
775000,362.0,151.78884678462055
800000,390.0,138.93851055426057
825000,352.0,145.4168781650369
850000,363.0,147.28904128517024
875000,381.0,147.29195131990127
900000,379.0,151.71635874954518
925000,357.0,152.84886060166173
950000,382.0,144.387306741497
975000,325.0,152.80951179284602
1000000,378.0,149.75484794424847
