Training Step,Steps,Reward
0,6.15,0.0
50000,48.95,0.15
100000,41.525000000000006,0.42500000000000004
150000,52.7,0.4
200000,33.5375,0.6875
250000,28.662499999999998,0.3625
300000,37.1875,0.3
350000,32.8,0.2875
400000,29.6,0.325
450000,23.8625,0.3625
500000,19.775,0.125
550000,37.0,0.46249999999999997
600000,26.8375,0.1875
650000,22.8125,0.21250000000000002
700000,31.5125,0.3625
750000,31.9125,0.4375
800000,30.4625,0.275
850000,22.450000000000003,0.375
900000,28.337500000000002,0.2125
950000,17.3625,0.19999999999999998
1000000,26.5125,0.2375
