Training Step,Reward,Value Error
25000,89.0,408.6244419478823
50000,118.0,200.5752016014665
75000,141.0,221.23720954094986
100000,164.0,258.36324598231306
125000,182.0,297.04779162171286
150000,193.0,238.42500535874004
175000,229.0,221.9282599849977
200000,298.0,246.4935703263198
225000,291.0,230.41126187086536
250000,310.0,225.0575052991224
275000,308.0,197.3824804445934
300000,309.0,196.23341140780178
325000,349.0,204.78276230465087
350000,238.0,173.6699092735874
375000,251.0,180.53217232825867
400000,321.0,154.3325699621638
425000,358.0,145.3731398597113
450000,290.0,156.13406832176707
475000,321.0,164.48350903026034
500000,361.0,158.59396031242187
525000,305.0,213.127945763289
550000,320.0,175.67696681740156
575000,291.0,140.2067420062975
600000,371.0,156.5036556561759
625000,336.0,241.937368600391
650000,305.0,203.71655757406583
675000,253.0,153.1328569859261
700000,329.0,148.6555712675118
725000,301.0,169.99093082096798
750000,364.0,176.61812274534637
775000,262.0,142.96061177975497
800000,324.0,139.44691904279227
825000,345.0,141.01422324253465
850000,315.0,133.4800421771778
875000,360.0,163.55469121774334
900000,349.0,199.66033184315143
925000,364.0,185.9514280032515
950000,336.0,170.02456439108997
975000,303.0,162.14781827605944
1000000,359.0,186.53494959735227
