Training Step,Steps,Reward
0,8.879999999999999,0.04
50000,21.389999999999997,0.25
100000,40.720000000000006,0.265
150000,38.135000000000005,0.45
200000,38.545,0.365
250000,39.025000000000006,0.49000000000000005
300000,45.695,0.445
350000,35.885,0.45499999999999996
400000,41.47,0.49000000000000005
450000,35.31,0.44499999999999995
500000,48.265,0.48500000000000004
550000,45.825,0.54
600000,33.72,0.44000000000000006
650000,42.91000000000001,0.54
700000,43.76499999999999,0.45999999999999996
750000,37.364999999999995,0.63
800000,35.825,0.615
850000,38.78500000000001,0.555
900000,35.985,0.635
950000,40.165,0.6500000000000001
1000000,42.01,0.6500000000000001
