Training Step,Reward,Value Error
25000,52.0,172.45787865503817
50000,95.0,122.27344263994361
75000,168.0,164.9016431101665
100000,191.0,200.33786591505057
125000,180.0,241.35940853088468
150000,203.0,228.02113921954304
175000,208.0,220.91510906093023
200000,248.0,224.43499648289134
225000,267.0,218.5323012623962
250000,316.0,208.29081382174635
275000,292.0,205.0211092832611
300000,333.0,195.13903339491284
325000,348.0,171.39403693748307
350000,312.0,184.44696939734027
375000,314.0,142.816308673064
400000,305.0,156.71176247944572
425000,312.0,150.00013473575513
450000,290.0,141.88918753187954
475000,287.0,151.5775663860635
500000,307.0,150.9633209110675
525000,341.0,149.18054621244679
550000,337.0,153.27998880562626
575000,315.0,152.06599025912956
600000,299.0,156.54534429457163
625000,289.0,144.2091596282003
650000,325.0,179.7295328294919
675000,259.0,163.30654497390313
700000,322.0,166.9034071145961
725000,314.0,172.23529306100696
750000,322.0,186.67047185900128
775000,343.0,155.52202964547976
800000,314.0,133.06723150930708
825000,350.0,144.88015440175147
850000,370.0,145.6249568849622
875000,341.0,176.53893705161784
900000,327.0,145.46487838268757
925000,306.0,142.36530826759687
950000,313.0,150.19233601315253
975000,370.0,145.08688101059263
1000000,312.0,139.7000346366312
