Training Step,Reward,Value Error
25000,65.0,124.42035166731824
50000,71.0,54.43508076844345
75000,76.0,74.5242300511965
100000,50.0,64.88431157453681
125000,71.0,64.52109736813298
150000,90.0,69.11495953918393
175000,143.0,116.5669131002177
200000,73.0,109.3458581316748
225000,88.0,74.40212368101183
250000,123.0,105.36533886862165
275000,134.0,126.20237872925681
300000,216.0,170.7916276543722
325000,139.0,174.655417706347
350000,160.0,132.34025792887104
375000,155.0,175.49305182738777
400000,155.0,126.99147645967301
425000,134.0,151.83354733539173
450000,188.0,147.70536911365014
475000,188.0,185.92499877417652
500000,157.0,162.67488816413425
525000,190.0,157.59598977317106
550000,169.0,176.77973800162806
575000,109.0,131.27555060377912
600000,140.0,113.58076198590383
625000,194.0,150.30868842213954
650000,174.0,185.32777145336098
675000,125.0,142.47420779286568
700000,145.0,114.72174470503255
725000,216.0,185.30079609582415
750000,105.0,172.35670896273552
775000,158.0,119.67474190650208
800000,108.0,135.1798362502556
825000,105.0,91.90168728450884
850000,137.0,121.04765459288956
875000,134.0,118.58663241528316
900000,151.0,124.02746493636022
925000,188.0,168.66233749974091
950000,141.0,149.34548149492656
975000,190.0,155.65359019855512
1000000,201.0,191.06256765702437
