Training Step,Reward,Value Error
25000,23.39679465225953,149.56773863111565
50000,23.179795324631517,96.75769839767202
75000,27.724029509007295,74.24645851771156
100000,30.280772731053812,33.93934686535487
125000,27.382322552589127,28.15194176629355
150000,19.754884278984537,23.03095061555077
175000,19.56696901029062,21.15331449683163
200000,18.712862883671985,19.8519098988599
225000,20.558861586352332,19.67834707462138
250000,18.27920845971271,17.114120143187666
275000,21.017780551008645,15.193011202942818
300000,24.347020575803736,17.708840033797134
325000,28.052782309446044,16.766330939623632
350000,32.75881728419057,15.863413641594924
375000,30.188479023030055,11.975948159856332
400000,29.265703743596433,11.536213774446724
425000,27.905433469902814,10.87334774438982
450000,34.47214659352337,14.404967218912484
475000,33.390921099593896,16.700537943375263
500000,32.16742184034134,15.52635754025519
525000,30.00693138178693,11.224203479561934
550000,34.117388452203905,7.690617019575238
575000,32.57641451221691,7.796602861815316
600000,30.569925036587772,13.152916207317473
625000,25.16611930930732,13.665925896655091
650000,27.547844733544434,14.880832077623595
675000,30.71928976023553,9.336084052705312
700000,31.605423806703786,9.478057839269255
725000,28.771008814560634,9.700597570196356
750000,23.56001058681147,14.426524392174136
775000,19.435354827959156,14.646987944427389
800000,19.82375245092156,13.154076176904274
825000,21.271951058215155,9.061834559434295
850000,22.42872144926774,7.680404023666509
875000,23.295640283945968,8.603039686721386
900000,19.75500409456018,10.072217674601392
925000,24.08980228688598,14.011843847111512
950000,32.718964132520604,13.959048534153363
975000,38.71021928147613,11.719864035343301
1000000,37.01779146641359,10.614905892127078
