Training Step,Steps,Reward
0,24.919999999999998,0.025
50000,36.11,0.25999999999999995
100000,28.889999999999997,0.4250000000000001
150000,36.79,0.445
200000,39.660000000000004,0.52
250000,38.815,0.565
300000,39.515,0.53
350000,40.05,0.5950000000000001
400000,41.160000000000004,0.5700000000000001
450000,41.0,0.5700000000000001
500000,47.32500000000001,0.585
550000,44.65,0.5850000000000001
600000,38.37,0.595
650000,44.015,0.6799999999999999
700000,42.83,0.7300000000000001
750000,37.08,0.575
800000,40.455,0.63
850000,38.355000000000004,0.61
900000,37.37,0.5700000000000001
950000,42.669999999999995,0.6050000000000001
1000000,39.155,0.635
