Training Step,Steps,Reward
0,26.47,0.05
50000,38.84,0.13
100000,31.78,0.48
150000,39.010000000000005,0.52
200000,36.79,0.54
250000,37.52,0.59
300000,39.03,0.5
350000,43.760000000000005,0.6100000000000001
400000,33.54,0.58
450000,39.32,0.67
500000,37.19,0.41
550000,36.04,0.68
600000,27.0,0.33999999999999997
650000,44.220000000000006,0.47000000000000003
700000,36.32,0.5599999999999999
750000,35.760000000000005,0.5199999999999999
800000,32.89,0.49000000000000005
850000,43.089999999999996,0.6799999999999999
900000,38.489999999999995,0.55
950000,39.78,0.5599999999999999
1000000,50.34,0.53
