Training Step,Reward,Value Error
25000,120.0,0.0
50000,167.0,0.0
75000,167.0,0.0
100000,184.0,0.0
125000,207.0,0.0
150000,232.0,0.0
175000,242.0,0.0
200000,271.0,0.0
225000,302.0,0.0
250000,335.0,0.0
275000,348.0,0.0
300000,381.0,0.0
325000,374.0,0.0
350000,348.0,0.0
375000,370.0,0.0
400000,361.0,0.0
425000,376.0,0.0
450000,349.0,0.0
475000,371.0,0.0
500000,375.0,0.0
525000,317.0,0.0
550000,359.0,0.0
575000,359.0,0.0
600000,351.0,0.0
625000,356.0,0.0
650000,382.0,0.0
675000,398.0,0.0
700000,360.0,0.0
725000,359.0,0.0
750000,395.0,0.0
775000,358.0,0.0
800000,346.0,0.0
825000,359.0,0.0
850000,379.0,0.0
875000,340.0,0.0
900000,374.0,0.0
925000,385.0,0.0
950000,377.0,0.0
975000,365.0,0.0
1000000,366.0,0.0
