Training Step,Reward,Value Error
25000,19.230444612644817,25.173235584254353
50000,23.44866733953126,27.51289788443487
75000,28.535767030167595,39.656459493953534
100000,34.38953329139551,52.63729887521034
125000,36.63659372812926,52.80261249204158
150000,40.03760732111748,48.74070299055188
175000,41.62943670048875,34.13722047891258
200000,61.51292547099349,36.078221090085606
225000,49.470091974848806,28.25027353577092
250000,78.41332794876136,22.4624395494763
275000,67.98087966479986,16.764172654434258
300000,74.5965146638903,12.442906465336797
325000,90.19650769292566,11.722493812893893
350000,90.81938119146155,27.356081842745265
375000,73.21482090396725,20.726579562382074
400000,69.49309318198463,14.039897204783847
425000,85.59322403087758,14.124521762102445
450000,72.97643455253208,16.169587747165465
475000,75.28372998198218,14.768912117546057
500000,76.74659601571915,16.398155929161035
525000,65.47587341914577,17.07506507160011
550000,60.405711650472256,12.920155833751616
575000,79.60401999899251,20.65504757572978
600000,61.92705386178161,20.61434787580617
625000,59.25546388308845,13.586349633280875
650000,59.79130371550699,12.832371902243139
675000,66.45449570947025,11.111911241960781
700000,68.26748860182275,11.482721042034052
725000,62.9206643321572,13.560884948824292
750000,67.82919725310038,10.852002138362451
775000,52.26365850186915,13.26390194037461
800000,70.94617678212124,15.08956893548704
825000,52.70189749904646,11.294513470472879
850000,63.642831489492984,12.217243940400921
875000,68.044103344816,9.91434315237219
900000,79.96399189635295,15.010707218628447
925000,60.19933554450581,14.026211700730137
950000,65.78115231584195,7.905126733433457
975000,76.98733662103139,14.305497393048276
1000000,89.33509948502883,28.144770182522354
