Training Step,Steps,Reward
0,9.059999999999999,0.01
50000,72.74,0.13
100000,35.15,0.5199999999999999
150000,44.53,0.76
200000,53.02,0.6199999999999999
250000,49.39,0.6
300000,43.279999999999994,0.6699999999999999
350000,44.07000000000001,0.63
400000,42.01,0.6699999999999999
450000,45.44,0.6300000000000001
500000,48.82,0.7
550000,46.6,0.6199999999999999
600000,40.690000000000005,0.75
650000,38.86,0.7000000000000001
700000,37.589999999999996,0.8099999999999999
750000,44.75,0.72
800000,44.16,0.7100000000000001
850000,51.83,0.6
900000,64.03999999999999,0.43
950000,43.83,0.7699999999999999
1000000,41.0,0.6799999999999999
