Training Step,Reward,Value Error
25000,70.2,239.40777021713296
50000,115.2,144.2872038597451
75000,150.6,192.2036366378499
100000,182.8,225.93785197482595
125000,187.8,249.7904508756716
150000,211.2,244.10779515824976
175000,250.0,244.76099561495047
200000,265.4,230.72540875851445
225000,284.0,202.67835979672608
250000,345.6,177.99904178994342
275000,349.6,159.85731457818403
300000,352.2,150.66008056245232
325000,346.0,148.18718153304422
350000,354.2,147.3227117610283
375000,354.8,146.94172671014803
400000,350.0,147.35787084118786
425000,362.6,150.2476648713838
450000,376.8,146.66503769122752
475000,354.0,150.7740828812134
500000,360.8,147.35876424482953
525000,367.2,145.42072070183082
550000,372.0,148.419083891049
575000,363.2,147.0003602439561
600000,364.8,148.1320624792613
625000,353.8,144.0450507236171
650000,365.4,146.44756099039836
675000,370.4,144.65835746041043
700000,380.8,148.0437940224188
725000,368.0,151.38140928833977
750000,362.0,149.3929223199122
775000,377.4,145.74894377847082
800000,368.4,147.77221156659425
825000,370.0,149.7673469604804
850000,368.8,147.13627653071325
875000,369.8,146.13403809179704
900000,368.8,145.84905317242251
925000,357.4,148.40000779495446
950000,381.4,145.71346383421778
975000,358.4,146.42781954086416
1000000,363.6,145.98428904340335
