Training Step,Steps,Reward
0,50.480000000000004,0.0
50000,38.239999999999995,0.39999999999999997
100000,37.45,0.6199999999999999
150000,42.040000000000006,0.61
200000,37.04,0.74
250000,40.019999999999996,0.58
300000,44.839999999999996,0.71
350000,48.089999999999996,0.71
400000,39.71,0.7000000000000001
450000,39.970000000000006,0.7300000000000001
500000,51.33,0.6
550000,41.64,0.6
600000,42.67,0.6900000000000001
650000,40.89,0.72
700000,44.32,0.7200000000000001
750000,41.15,0.7000000000000001
800000,40.49999999999999,0.6699999999999999
850000,49.36,0.6799999999999999
900000,43.690000000000005,0.6199999999999999
950000,39.21,0.8099999999999999
1000000,44.9,0.65
