Training Step,Reward,Value Error
25000,52.0,525.3014241578057
50000,55.0,266.6178268296644
75000,57.0,164.22324838396162
100000,109.0,136.39207857527072
125000,189.0,194.52279048471246
150000,238.0,219.19191246898845
175000,227.0,206.4221611302346
200000,275.0,207.27981066668872
225000,288.0,185.5405767991906
250000,298.0,169.85362747276668
275000,313.0,157.87074488098733
300000,296.0,152.36403245403199
325000,316.0,157.38278981810436
350000,318.0,155.8497613731306
375000,351.0,148.99330587277655
400000,324.0,150.73438120400533
425000,384.0,153.18169754196424
450000,347.0,157.83447042433545
475000,357.0,151.93748697201954
500000,339.0,151.42404692072887
525000,350.0,139.39799603703432
550000,351.0,145.03560621931683
575000,364.0,139.85797122889198
600000,340.0,144.2025767242303
625000,338.0,150.42456345784012
650000,364.0,149.49497662391514
675000,383.0,148.4828288720455
700000,386.0,143.3892856797902
725000,353.0,148.71791084180586
750000,350.0,149.1318935364252
775000,386.0,156.62341619213112
800000,371.0,148.44234319450334
825000,357.0,145.10084507020656
850000,367.0,142.48387147579342
875000,342.0,131.00109643826727
900000,357.0,141.7064129729988
925000,376.0,143.95247765083332
950000,385.0,144.1996194354724
975000,357.0,148.1567119838437
1000000,360.0,155.92359988566022
