Training Step,Reward,Value Error
25000,54.0,115.5736449531978
50000,94.0,96.86791657441063
75000,144.0,131.86196617112728
100000,163.0,182.89773445157334
125000,192.0,210.38286350574344
150000,185.0,234.67804818763398
175000,232.0,207.87846553116105
200000,253.0,212.63837239111308
225000,296.0,207.214364990592
250000,300.0,176.1182536787819
275000,345.0,147.31267522543203
300000,360.0,159.77137358824257
325000,361.0,157.25952233478893
350000,384.0,150.02855868719053
375000,394.0,146.5567201686208
400000,376.0,141.64165474346373
425000,350.0,146.57820182631258
450000,352.0,144.68990625883453
475000,352.0,147.41601419018116
500000,375.0,148.47396524634678
525000,379.0,151.26940283400472
550000,380.0,161.71127567265648
575000,363.0,153.81300865346566
600000,352.0,158.11792381014675
625000,363.0,150.67704275122378
650000,390.0,145.03895442717476
675000,344.0,146.89220153633505
700000,358.0,151.45797296997625
725000,346.0,147.10631581145572
750000,357.0,142.27753911714535
775000,370.0,144.63113467756193
800000,393.0,150.23227027233224
825000,342.0,153.65691675816197
850000,384.0,141.95992186886724
875000,388.0,145.33627351361793
900000,374.0,149.41261555545498
925000,352.0,149.18109438905958
950000,390.0,155.45426527119707
975000,346.0,144.55927516659722
1000000,374.0,148.82075968990102
