Training Step,Steps,Reward
0,13.280000000000001,0.030000000000000006
50000,23.27,0.25
100000,41.915,0.25999999999999995
150000,29.47,0.43
200000,27.97,0.36000000000000004
250000,48.690000000000005,0.39499999999999996
300000,38.97,0.465
350000,33.975,0.45999999999999996
400000,38.225,0.555
450000,33.3,0.52
500000,43.614999999999995,0.55
550000,37.07,0.425
600000,44.325,0.45499999999999996
650000,47.025000000000006,0.52
700000,34.22500000000001,0.43
750000,38.364999999999995,0.635
800000,44.675,0.585
850000,50.55499999999999,0.615
900000,38.57,0.65
950000,35.765,0.6249999999999999
1000000,41.085,0.6100000000000001
