Training Step,Steps,Reward
0,29.619999999999997,0.0
50000,47.2,0.26999999999999996
100000,40.7,0.45
150000,40.4,0.48999999999999994
200000,28.26,0.41
250000,34.839999999999996,0.5700000000000001
300000,41.72,0.41
350000,41.160000000000004,0.49000000000000005
400000,39.8,0.5
450000,36.22,0.39
500000,40.63,0.39
550000,38.09,0.48
600000,35.910000000000004,0.5700000000000001
650000,48.78000000000001,0.6300000000000001
700000,46.12,0.6000000000000001
750000,44.89,0.59
800000,58.69,0.5
850000,38.6,0.6
900000,42.07000000000001,0.64
950000,40.2,0.41999999999999993
1000000,44.13,0.49000000000000005
