Training Step,Reward,Value Error
25000,102.0,107.25839824274064
50000,138.0,161.79126188318537
75000,156.0,186.0887684113809
100000,165.0,180.51517743053833
125000,181.0,196.35334394406638
150000,208.0,200.5697726823855
175000,249.0,218.0357921370761
200000,244.0,213.51783136348234
225000,315.0,205.49643664152921
250000,334.0,189.02782889092404
275000,376.0,161.22126706610524
300000,397.0,158.8631191346074
325000,357.0,152.9509947447455
350000,356.0,151.7480938065223
375000,421.0,153.67645786837517
400000,416.0,162.77903184502023
425000,389.0,161.96199791436135
450000,329.0,156.15859224423752
475000,375.0,158.62745562550748
500000,385.0,158.5742275754706
525000,357.0,154.86470514815247
550000,366.0,153.37486267206194
575000,358.0,149.29133808971397
600000,363.0,154.6875170610376
625000,386.0,154.63287319956618
650000,392.0,150.5746307098779
675000,390.0,160.91672883494596
700000,370.0,162.2132744706476
725000,361.0,148.19277640529836
750000,389.0,156.81002373705846
775000,365.0,157.8133880818839
800000,389.0,156.76314206470144
825000,354.0,143.21685646284664
850000,376.0,144.3617517672479
875000,395.0,153.83850144811362
900000,364.0,156.31429058637053
925000,360.0,142.69199304797212
950000,397.0,144.32778580926788
975000,351.0,147.10375098378853
1000000,378.0,153.1128153388405
