Training Step,Steps,Reward
0,29.6,0.0
50000,33.254999999999995,0.21000000000000002
100000,34.803333333333335,0.37666666666666665
150000,38.29333333333333,0.6233333333333334
200000,41.20666666666667,0.7266666666666667
250000,41.13666666666666,0.7266666666666667
300000,40.01666666666667,0.65
350000,39.34,0.6433333333333333
400000,41.85666666666667,0.62
450000,43.44,0.65
500000,41.24333333333333,0.6433333333333334
550000,41.50666666666667,0.6566666666666666
600000,43.02666666666667,0.7166666666666668
650000,44.64666666666667,0.7033333333333335
700000,42.96666666666667,0.7033333333333333
750000,41.45666666666667,0.7033333333333333
800000,42.48,0.7333333333333334
850000,41.25,0.77
900000,41.93666666666666,0.73
950000,42.71333333333333,0.7233333333333333
1000000,43.623333333333335,0.6666666666666666
