Training Step,Reward,Value Error
25000,53.0,282.1479938888904
50000,91.0,137.68095604677185
75000,128.0,162.34358453992866
100000,180.0,196.32913941801553
125000,221.0,237.6172456943435
150000,201.0,235.7375115982734
175000,218.0,223.9088980551817
200000,261.0,216.8076169955064
225000,287.0,192.7355420011107
250000,351.0,179.74235297916562
275000,357.0,162.77678846404834
300000,356.0,151.7741482758425
325000,321.0,150.38037817932153
350000,378.0,146.19235164912072
375000,343.0,143.95603248472293
400000,383.0,145.90894850073371
425000,376.0,150.50495350011568
450000,361.0,154.33263333023012
475000,351.0,148.7520078281407
500000,396.0,146.83710350862228
525000,347.0,151.77832653136088
550000,346.0,147.07625707266948
575000,352.0,147.927433809825
600000,342.0,149.76896850876508
625000,337.0,151.11957944566262
650000,330.0,146.1985030552846
675000,367.0,144.63487242935142
700000,374.0,149.3165197355432
725000,366.0,148.0041220062408
750000,333.0,148.01068148566355
775000,346.0,142.0714077079198
800000,322.0,147.10948096835102
825000,379.0,145.64809556356775
850000,364.0,144.01398002302747
875000,350.0,143.06240865807015
900000,377.0,147.00258387643842
925000,355.0,145.43784622629036
950000,387.0,148.30219482777082
975000,342.0,148.5820977586787
1000000,363.0,146.36848655762154
