Training Step,Reward,Value Error
25000,81.0,292.7035889219978
50000,137.0,166.072775095085
75000,145.0,204.84994411652545
100000,173.0,238.83182593663307
125000,203.0,262.6506430769801
150000,243.0,256.36964943204185
175000,242.0,246.30113999727257
200000,285.0,234.1796025221921
225000,302.0,209.8633387828239
250000,357.0,182.6802746209666
275000,361.0,157.78426517574218
300000,346.0,147.01598911751103
325000,345.0,150.45603270932324
350000,334.0,147.082617298304
375000,385.0,148.83331225358364
400000,352.0,143.1334581472325
425000,374.0,143.43088860851742
450000,355.0,153.5574896581699
475000,364.0,153.4271855989121
500000,328.0,144.8738851484133
525000,341.0,142.71167359055252
550000,357.0,142.29098408907876
575000,361.0,149.76363476703364
600000,376.0,143.20583933363685
625000,347.0,146.27942645535782
650000,391.0,142.47467811448715
675000,378.0,148.21148109114705
700000,365.0,146.42681462792635
725000,354.0,142.28304626101226
750000,369.0,142.13686975468855
775000,366.0,149.33420512646111
800000,365.0,151.83595481093442
825000,385.0,150.5463548778782
850000,369.0,148.94980855181333
875000,356.0,148.14661087742945
900000,367.0,143.02615510325444
925000,351.0,145.86863239353949
950000,368.0,145.4190630208809
975000,360.0,152.5974351016105
1000000,352.0,154.98262585122225
