Training Step,Reward,Value Error
25000,87.0,204.64460386911153
50000,133.0,205.1053328026559
75000,138.0,240.0073690086197
100000,164.0,221.62662873667534
125000,195.0,235.84193761101847
150000,221.0,253.0369677551146
175000,234.0,242.17811901865036
200000,277.0,222.44947545527154
225000,311.0,205.63602177905923
250000,378.0,193.28750181697637
275000,340.0,167.60709537169325
300000,328.0,153.94547051705263
325000,342.0,161.81756169849515
350000,324.0,153.80695020558193
375000,317.0,155.4382708653642
400000,320.0,152.2478869164302
425000,314.0,145.02825529704953
450000,309.0,139.43570887934823
475000,354.0,138.5488978251382
500000,376.0,138.94970304419397
525000,382.0,155.81909670787263
550000,361.0,149.50556158175428
575000,296.0,139.93950415087411
600000,320.0,139.73646656507688
625000,362.0,135.47486989774606
650000,325.0,155.4176025336556
675000,341.0,144.79589491948366
700000,303.0,136.03095996062635
725000,343.0,183.06878054272215
750000,372.0,153.09110884519035
775000,391.0,142.82465202900676
800000,358.0,153.2196131050295
825000,339.0,157.28457974434684
850000,342.0,150.4294172806318
875000,362.0,144.6572719404414
900000,360.0,154.78824736865963
925000,363.0,147.24894922510137
950000,325.0,136.12387634763434
975000,322.0,141.41555150236832
1000000,341.0,149.82693951456747
