Training Step,Reward,Value Error
25000,58.75,227.5756844343994
50000,62.0,123.1997832362413
75000,110.75,123.62476410238573
100000,156.25,161.01697357442612
125000,188.0,191.44281491886005
150000,183.25,194.77644366730098
175000,204.75,187.65335116359478
200000,232.0,201.0545253408191
225000,242.25,195.9853809874817
250000,273.25,195.68977555521457
275000,297.25,185.9662164418226
300000,283.25,175.58417925317156
325000,334.0,174.8599175357328
350000,278.5,165.2504065508706
375000,323.5,155.32391771201486
400000,322.5,161.09331291796053
425000,336.5,165.25246418473304
450000,356.25,167.27503853009904
475000,340.75,168.92363465129088
500000,322.5,164.08754288600474
525000,324.75,158.6686175431129
550000,309.5,148.15952865742358
575000,334.75,154.978287423248
600000,320.75,170.6944442093399
625000,328.25,154.94230791497088
650000,352.5,158.05284307331263
675000,321.25,147.16015975121337
700000,335.75,146.0551429912411
725000,306.5,147.12559030430367
750000,338.75,142.47697636677043
775000,351.5,149.6317838563578
800000,332.25,148.2123015984241
825000,346.25,146.7690180985701
850000,350.25,151.2202014960728
875000,357.5,147.748875510537
900000,348.75,149.7351468350729
925000,329.5,144.76162963079662
950000,357.5,148.1685685647487
975000,336.75,144.8461862985689
1000000,344.0,149.67651690634608
