Training Step,Steps,Reward
0,29.45,0.0125
50000,45.7875,0.0375
100000,28.975,0.27499999999999997
150000,32.775,0.275
200000,24.3125,0.32499999999999996
250000,26.5375,0.175
300000,23.474999999999998,0.25
350000,50.4875,0.175
400000,29.7125,0.30000000000000004
450000,34.15,0.5249999999999999
500000,42.887499999999996,0.475
550000,35.775,0.3875
600000,39.6125,0.475
650000,32.8125,0.44999999999999996
700000,38.587500000000006,0.55
750000,51.6,0.375
800000,23.7625,0.3125
850000,23.1875,0.35
900000,43.06249999999999,0.6375
950000,42.262499999999996,0.475
1000000,26.5375,0.45
