Training Step,Steps,Reward
0,27.475,0.01
50000,14.665000000000001,0.06
100000,29.325,0.21000000000000002
150000,24.055,0.255
200000,29.925,0.165
250000,19.785000000000004,0.22999999999999998
300000,30.954999999999995,0.31999999999999995
350000,25.929999999999996,0.27999999999999997
400000,36.305,0.38999999999999996
450000,28.279999999999994,0.3950000000000001
500000,26.415,0.36
550000,30.425,0.37000000000000005
600000,32.335,0.38999999999999996
650000,38.295,0.4
700000,29.9,0.45999999999999996
750000,40.09,0.36
800000,28.355,0.41999999999999993
850000,32.575,0.5
900000,33.84,0.43
950000,35.589999999999996,0.525
1000000,40.475,0.565
