Training Step,Reward,Value Error
25000,118.0,95.25350824119596
50000,151.0,148.29104686359642
75000,144.0,164.189523675479
100000,181.0,147.0526579952566
125000,208.0,181.8998955092393
150000,217.0,200.9226535721682
175000,231.0,219.48868658638094
200000,294.0,212.65521409432404
225000,318.0,214.16565131326206
250000,346.0,189.16868758259807
275000,364.0,171.9166491549695
300000,372.0,165.35050770733505
325000,361.0,165.9052618171554
350000,378.0,157.5131655499572
375000,410.0,159.01329821208492
400000,384.0,158.1283416772494
425000,383.0,156.91493476054166
450000,401.0,159.23332334076986
475000,390.0,160.55372492782772
500000,387.0,163.4422506003175
525000,377.0,160.3413612889708
550000,375.0,172.25516007223632
575000,390.0,161.69016836525407
600000,401.0,158.96518162020948
625000,404.0,150.242589831003
650000,367.0,162.41292242368218
675000,335.0,162.14426693087444
700000,382.0,163.44881201162934
725000,386.0,157.55606793018524
750000,393.0,160.23306150210556
775000,393.0,163.60815678490326
800000,330.0,154.6917259709444
825000,368.0,153.85832432250027
850000,332.0,159.58888592920266
875000,371.0,146.40397324215155
900000,410.0,161.22966925229412
925000,382.0,164.23257900273893
950000,369.0,159.63522187317722
975000,364.0,155.6753947957186
1000000,387.0,158.45717432472156
