Training Step,Reward,Value Error
25000,101.5,105.3647382439688
50000,118.2,123.57085642602866
75000,127.06666666666668,133.69335379114077
100000,147.76666666666668,154.55964250629575
125000,163.36666666666665,169.10832756599703
150000,181.6,180.92900001732826
175000,200.5666666666667,188.9182634991516
200000,219.6,189.65151272952014
225000,240.80000000000004,188.01356375800484
250000,270.6666666666667,186.49205111158858
275000,298.8,185.13097781928468
300000,316.5333333333333,184.6755881409306
325000,316.06666666666666,181.71663008676356
350000,313.3333333333333,180.93790230530237
375000,314.8,179.69541786074797
400000,322.40000000000003,181.6168974256085
425000,327.56666666666666,180.73803243839646
450000,331.26666666666665,178.51639115899548
475000,327.0,175.9830842764883
500000,325.93333333333334,173.8673171660737
525000,323.93333333333334,173.8980507446744
550000,323.8666666666666,171.23514581350219
575000,327.5,170.0023352605892
600000,332.53333333333336,170.8542685015709
625000,337.9,171.30093729146174
650000,344.6333333333334,171.99192598380614
675000,343.8666666666666,169.61510519361278
700000,345.3333333333333,167.70029765929505
725000,334.8,165.2553427296623
750000,340.1666666666667,163.49271328726414
775000,342.6333333333334,163.213525136112
800000,345.5333333333333,162.41382097354509
825000,342.0333333333333,161.47225129283615
850000,341.43333333333334,160.52640649074843
875000,343.9666666666667,160.9109651969513
900000,346.23333333333335,161.13997147972404
925000,348.23333333333335,160.3328865373575
950000,351.1333333333334,160.36575600059294
975000,347.56666666666666,159.2470395092212
1000000,351.3,159.1937053657738
