Training Step,Steps,Reward
0,32.665,0.01
50000,25.7025,0.125
100000,26.81,0.215
150000,26.004999999999995,0.33
200000,30.491666666666664,0.395
250000,31.81,0.4000000000000001
300000,31.855,0.4366666666666667
350000,33.690000000000005,0.4466666666666667
400000,36.791666666666664,0.49833333333333335
450000,39.81166666666667,0.49999999999999994
500000,39.34166666666666,0.5249999999999999
550000,37.04,0.4883333333333333
600000,37.951666666666675,0.54
650000,38.19833333333333,0.5599999999999999
700000,38.66166666666667,0.59
750000,38.73500000000001,0.5716666666666667
800000,40.25333333333334,0.5933333333333333
850000,41.49666666666667,0.6133333333333333
900000,43.42666666666668,0.61
950000,42.955000000000005,0.6083333333333334
1000000,44.208333333333336,0.6050000000000001
