Training Step,Steps,Reward
0,18.46,0.02
50000,24.255,0.265
100000,39.825,0.39499999999999996
150000,37.82000000000001,0.545
200000,51.165,0.555
250000,40.405,0.685
300000,44.03,0.6200000000000001
350000,39.68,0.625
400000,45.279999999999994,0.615
450000,43.825,0.7150000000000001
500000,35.795,0.63
550000,44.245,0.665
600000,45.405,0.6650000000000001
650000,46.225,0.585
700000,43.955000000000005,0.7300000000000001
750000,42.21500000000001,0.7049999999999998
800000,41.205,0.7099999999999999
850000,41.790000000000006,0.6950000000000001
900000,42.364999999999995,0.635
950000,43.85,0.655
1000000,41.42,0.7499999999999999
