Training Step,Steps,Reward
0,18.46,0.02
50000,21.3575,0.14250000000000002
100000,27.513333333333335,0.22666666666666666
150000,33.966666666666676,0.40166666666666667
200000,42.93666666666667,0.49833333333333335
250000,43.13,0.5950000000000001
300000,45.199999999999996,0.6200000000000001
350000,41.37166666666667,0.6433333333333334
400000,42.99666666666667,0.62
450000,42.928333333333335,0.6516666666666667
500000,41.63333333333333,0.6533333333333333
550000,41.288333333333334,0.67
600000,41.815,0.6533333333333334
650000,45.291666666666664,0.6383333333333334
700000,45.195,0.6600000000000001
750000,44.13166666666667,0.6733333333333333
800000,42.45833333333334,0.715
850000,41.73666666666667,0.7033333333333333
900000,41.78666666666667,0.68
950000,42.66833333333333,0.6616666666666667
1000000,42.545,0.68
