Training Step,Reward,Value Error
25000,113.0,142.88552761796745
50000,116.0,143.74280588305555
75000,150.0,135.1194636876462
100000,123.0,153.5278004470747
125000,192.0,149.9189465700765
150000,201.0,189.49878030095715
175000,227.0,189.30884576868266
200000,298.0,214.43886476871558
225000,300.0,203.4294299884932
250000,358.0,180.57330665097106
275000,395.0,163.36317611683626
300000,390.0,157.36157375015318
325000,392.0,165.953297386528
350000,375.0,155.34462731925305
375000,381.0,168.08402365387883
400000,372.0,166.60342500300612
425000,414.0,158.36625812097918
450000,392.0,159.7548531794455
475000,415.0,157.75470093649346
500000,400.0,166.71491420001257
525000,380.0,161.37828136375174
550000,322.0,147.86977385613136
575000,374.0,147.1177833166439
600000,429.0,165.9217568456661
625000,371.0,157.35259680682793
650000,392.0,158.75547943077981
675000,403.0,157.49812187242787
700000,407.0,168.6307018114021
725000,369.0,155.9257388834376
750000,380.0,147.5022953224834
775000,387.0,151.54626846360043
800000,355.0,146.3977811508812
825000,378.0,145.87464745342731
850000,374.0,153.21102830779273
875000,389.0,152.98229855846148
900000,400.0,156.55814521946013
925000,368.0,152.1905900448328
950000,379.0,152.91665520938113
975000,415.0,154.23770857055206
1000000,357.0,156.47935861418955
