Training Step,Reward,Value Error
25000,92.9,90.15198541067016
50000,132.5,123.71161548814999
75000,152.1,156.4867584987078
100000,170.3,181.9506374010758
125000,183.7,186.96472876832703
150000,195.4,188.5687727297831
175000,225.4,196.42659578393213
200000,257.1,193.85339623558102
225000,276.6,189.61963134370745
250000,318.1,184.72044151310692
275000,345.6,178.13913904611255
300000,349.6,168.89215381778777
325000,347.3,169.7788387172157
350000,343.8,168.01445233599514
375000,349.1,171.16399663480698
400000,353.0,171.1527119167964
425000,350.9,173.09567878916278
450000,348.6,171.05682384542888
475000,357.2,171.82067471796182
500000,351.1,170.3877836719912
525000,355.3,170.77585616111173
550000,352.4,173.1773466260871
575000,357.4,170.3564907572756
600000,357.3,171.13230933606974
625000,356.1,169.23016502923565
650000,360.4,167.69662868669838
675000,354.1,165.23797693732777
700000,354.1,167.29196264765923
725000,351.8,167.09938748766436
750000,363.2,166.671605492197
775000,368.0,166.083095053985
800000,353.9,164.10105943892268
825000,363.8,161.50824286713615
850000,362.3,162.276352358202
875000,371.0,164.48019871399157
900000,368.3,162.9396662709245
925000,359.8,163.4386954386253
950000,361.5,161.73171150272827
975000,355.0,159.6393522997736
1000000,366.5,162.52545704423682
