Training Step,Reward,Value Error
25000,18.03025235541644,49.87649501742422
50000,18.663442092934048,34.51875498594559
75000,19.658018300563814,33.37333200403801
100000,20.37961714815265,26.52910948666914
125000,19.63179060509523,28.598478323818807
150000,19.125016280241912,25.370449922104726
175000,16.05757493649061,21.857769486432804
200000,17.621868909794458,16.469544709396846
225000,16.451571724956697,14.823982476884709
250000,19.59582153287997,12.089256750974528
275000,20.57048425724116,13.776622065704458
300000,25.1258898528411,13.12829349055094
325000,25.70575262214256,13.855403558142038
350000,24.496762227241263,14.034544194481215
375000,20.413435713677206,13.842900474843765
400000,21.897260251947596,14.680185703504698
425000,24.243821518607053,14.247953911413264
450000,26.072024542235074,13.37334719449757
475000,25.104064087516004,13.155630707333602
500000,23.98693798920966,13.606102919869556
525000,21.77097259035158,14.180305095214953
550000,19.975400274708687,14.351097399544678
575000,18.714212151978614,15.786027834909651
600000,21.949698226868275,16.823509107327173
625000,23.7291586368916,16.557980806146272
650000,25.72035021430031,15.224876676257644
675000,22.52228404958873,14.942156370232313
700000,21.670906710216595,15.736065143037436
725000,22.60474665219989,16.137340097746403
750000,27.096588160357157,15.447098027740717
775000,28.572659940899612,15.572679182845533
800000,25.978640845832455,15.510154609545685
825000,24.038123160850343,14.141870231680807
850000,24.901177858734304,10.907238084456097
875000,27.648769625983146,9.685058228292467
900000,29.509075568531102,9.922624066437377
925000,29.75980361582556,10.585213877074466
950000,30.90023879393273,9.258698730745058
975000,32.771093630653816,8.5852843607931
1000000,31.794750911270174,8.227683358705788
