Training Step,Reward,Value Error
25000,117.0,128.04491368468734
50000,116.0,139.76805303181754
75000,155.0,146.45212284155423
100000,190.0,200.27322854590602
125000,185.0,211.38357607705984
150000,226.0,218.79056091501843
175000,241.0,230.3173638371518
200000,297.0,226.23926036269404
225000,307.0,233.2251430748729
250000,344.0,195.77226563659497
275000,394.0,204.77658838871866
300000,361.0,193.00716645037755
325000,375.0,180.9608826439362
350000,357.0,188.73548717226367
375000,365.0,172.63097492151428
400000,378.0,167.81863414298277
425000,357.0,162.52681057725567
450000,390.0,164.47036955237854
475000,392.0,160.67083491524681
500000,398.0,150.05026201554574
525000,385.0,164.1581011771923
550000,367.0,150.5697607678594
575000,378.0,157.99251071736217
600000,402.0,165.46272325445898
625000,389.0,148.3898770258529
650000,370.0,142.63536208635196
675000,385.0,144.91367141413502
700000,353.0,150.78739765041973
725000,384.0,150.542103325075
750000,401.0,157.53873813489918
775000,344.0,142.14875243720599
800000,376.0,141.25779835158028
825000,379.0,147.91065526660532
850000,366.0,157.31953530176543
875000,367.0,142.24654397775885
900000,389.0,151.40146967582405
925000,368.0,145.18885131319985
950000,378.0,151.37851347960532
975000,377.0,154.46646438806783
1000000,372.0,154.0940564578632
