Training Step,Steps,Reward
0,26.3,0.04
50000,22.25,0.12000000000000002
100000,33.620000000000005,0.43999999999999995
150000,34.894999999999996,0.5149999999999999
200000,39.11,0.565
250000,43.96000000000001,0.5850000000000002
300000,36.30499999999999,0.62
350000,40.69,0.6249999999999999
400000,39.794999999999995,0.64
450000,38.605,0.65
500000,40.25,0.595
550000,40.94,0.685
600000,45.105,0.725
650000,42.464999999999996,0.7050000000000002
700000,44.084999999999994,0.655
750000,38.24999999999999,0.655
800000,42.11,0.645
850000,42.21499999999999,0.71
900000,39.865,0.7749999999999999
950000,48.589999999999996,0.6
1000000,44.975,0.7100000000000001
