Training Step,Reward,Value Error
25000,47.666666666666664,0.0
50000,40.333333333333336,0.0
75000,42.333333333333336,0.0
100000,48.0,0.0
125000,47.333333333333336,0.0
150000,50.666666666666664,0.0
175000,49.0,0.0
200000,43.0,0.0
225000,47.666666666666664,0.0
250000,49.0,0.0
275000,47.333333333333336,0.0
300000,45.0,0.0
325000,44.333333333333336,0.0
350000,45.333333333333336,0.0
375000,46.333333333333336,0.0
400000,45.0,0.0
425000,48.333333333333336,0.0
450000,48.0,0.0
475000,52.0,0.0
500000,49.333333333333336,0.0
525000,51.0,0.0
550000,51.666666666666664,0.0
575000,44.0,0.0
600000,36.666666666666664,0.0
625000,44.0,0.0
650000,44.333333333333336,0.0
675000,48.0,0.0
700000,43.333333333333336,0.0
725000,47.333333333333336,0.0
750000,47.333333333333336,0.0
775000,43.666666666666664,0.0
800000,42.333333333333336,0.0
825000,37.333333333333336,0.0
850000,47.333333333333336,0.0
875000,48.333333333333336,0.0
900000,45.666666666666664,0.0
925000,40.666666666666664,0.0
950000,41.0,0.0
975000,51.666666666666664,0.0
1000000,39.666666666666664,0.0
