Training Step,Reward,Value Error
25000,131.0,0.0
50000,169.0,0.0
75000,151.0,0.0
100000,198.0,0.0
125000,191.0,0.0
150000,235.0,0.0
175000,249.0,0.0
200000,291.0,0.0
225000,313.0,0.0
250000,343.0,0.0
275000,384.0,0.0
300000,400.0,0.0
325000,355.0,0.0
350000,364.0,0.0
375000,406.0,0.0
400000,391.0,0.0
425000,374.0,0.0
450000,349.0,0.0
475000,356.0,0.0
500000,350.0,0.0
525000,390.0,0.0
550000,386.0,0.0
575000,371.0,0.0
600000,369.0,0.0
625000,368.0,0.0
650000,408.0,0.0
675000,361.0,0.0
700000,382.0,0.0
725000,378.0,0.0
750000,362.0,0.0
775000,364.0,0.0
800000,351.0,0.0
825000,359.0,0.0
850000,362.0,0.0
875000,399.0,0.0
900000,386.0,0.0
925000,335.0,0.0
950000,390.0,0.0
975000,348.0,0.0
1000000,381.0,0.0
