Training Step,Reward,Value Error
25000,77.0,259.94772206700895
50000,78.0,108.68297381028586
75000,120.0,115.67890602141846
100000,157.0,152.6736373765632
125000,160.0,161.8074415370585
150000,243.0,204.085374208913
175000,275.0,232.08923696654358
200000,305.0,224.01944116961624
225000,337.0,210.41281230892062
250000,313.0,192.49103319053557
275000,345.0,159.0030887054512
300000,373.0,150.0949473366137
325000,350.0,150.4343658666586
350000,358.0,148.20973860353683
375000,352.0,152.18207069542328
400000,359.0,151.73475707345665
425000,354.0,146.0543443261409
450000,377.0,144.4718980235398
475000,371.0,156.28719316751196
500000,376.0,145.84508972277325
525000,344.0,151.56950785890152
550000,391.0,151.10122334732432
575000,356.0,148.50920434691955
600000,386.0,143.35776039774012
625000,364.0,148.6521823170586
650000,352.0,143.2445883387466
675000,386.0,149.1914960888453
700000,364.0,153.2072219019756
725000,336.0,143.0917245364733
750000,372.0,137.02139266531523
775000,367.0,143.22422851921183
800000,364.0,142.724242161157
825000,380.0,144.54198625183236
850000,345.0,146.59458852976118
875000,368.0,149.7613609127001
900000,360.0,145.9997585856815
925000,384.0,140.52503296605948
950000,362.0,146.77913011982955
975000,350.0,148.17291454093152
1000000,367.0,144.98282801456608
