Training Step,Reward,Value Error
25000,72.5,206.0127331477779
50000,82.45,164.2315575870547
75000,89.56666666666666,152.04430921978636
100000,109.36666666666667,128.35583433134596
125000,132.26666666666668,142.47295937395538
150000,160.16666666666666,160.13953424757153
175000,185.5666666666667,179.10487762101306
200000,206.70000000000002,185.25877270997344
225000,226.03333333333333,187.05273330630348
250000,252.83333333333334,183.8942567633775
275000,278.40000000000003,184.18494704732825
300000,293.6333333333334,179.32640423843017
325000,295.53333333333336,174.15665233921413
350000,296.36666666666673,167.02728287347517
375000,305.03333333333336,164.8826560929534
400000,315.00000000000006,164.8908334992981
425000,321.36666666666673,164.93535752574294
450000,324.26666666666665,163.30521183914584
475000,323.73333333333335,160.26083866815316
500000,329.76666666666665,157.96194563963994
525000,331.8666666666667,156.6166098360244
550000,338.3333333333333,155.03058437901393
575000,336.8,153.6878246568803
600000,342.59999999999997,152.16391371718296
625000,344.5666666666668,151.1282994547432
650000,352.86666666666673,149.68898237793474
675000,356.1666666666667,149.10215489088634
700000,359.3,148.46504987621836
725000,356.1333333333334,148.5346036000876
750000,357.6333333333334,148.56122259376184
775000,360.3,149.2222884019798
800000,363.3333333333333,149.54390113133317
825000,358.56666666666666,149.52461316214954
850000,358.76666666666665,148.6193379607789
875000,358.3,148.38657166107248
900000,360.93333333333334,148.14926321748644
925000,360.8333333333333,147.57042267223974
950000,362.8,147.72290428871443
975000,363.1333333333334,147.09469486045805
1000000,362.70000000000005,147.9940710776408
