Training Step,Steps,Reward
0,21.57,0.015000000000000003
50000,41.129999999999995,0.43500000000000005
100000,40.435,0.67
150000,43.885,0.6699999999999999
200000,42.184999999999995,0.675
250000,45.78,0.72
300000,43.190000000000005,0.7049999999999998
350000,40.36999999999999,0.7
400000,43.915000000000006,0.72
450000,43.875,0.75
500000,48.845000000000006,0.725
550000,46.36,0.7350000000000001
600000,44.555,0.7100000000000001
650000,43.57000000000001,0.735
700000,45.11,0.72
750000,45.815000000000005,0.7549999999999999
800000,41.515,0.715
850000,40.855000000000004,0.6900000000000001
900000,44.089999999999996,0.75
950000,46.12,0.72
1000000,46.825,0.7649999999999999
