Training Step,Steps,Reward
0,29.079999999999995,0.0
50000,51.779999999999994,0.06999999999999999
100000,50.910000000000004,0.44000000000000006
150000,41.2,0.69
200000,42.14,0.5900000000000001
250000,51.08,0.7
300000,45.010000000000005,0.65
350000,47.760000000000005,0.69
400000,43.279999999999994,0.68
450000,43.4,0.71
500000,50.74,0.74
550000,46.75,0.75
600000,41.36,0.8099999999999999
650000,48.17,0.65
700000,46.519999999999996,0.6699999999999999
750000,41.03,0.7699999999999999
800000,39.92999999999999,0.8
850000,48.74,0.6699999999999999
900000,41.83,0.76
950000,41.739999999999995,0.79
1000000,46.72,0.6799999999999999
