Training Step,Reward,Value Error
25000,78.0,127.02062487550997
50000,118.0,130.99627938396335
75000,158.0,173.10183710795852
100000,148.0,186.71737945405772
125000,186.0,198.33203576728727
150000,196.0,220.81483646021059
175000,221.0,216.16470321104856
200000,261.0,190.69140433198825
225000,263.0,182.15017840126498
250000,315.0,173.75561347566585
275000,294.0,162.83634704430602
300000,340.0,154.54532416299892
325000,321.0,161.62393641062184
350000,358.0,152.7748560326174
375000,358.0,158.71558494181374
400000,382.0,146.58687680684744
425000,353.0,148.72548153384184
450000,346.0,152.15219700369084
475000,306.0,145.64896465691174
500000,339.0,146.6119811549555
525000,370.0,152.28115053612333
550000,384.0,153.06919696559092
575000,342.0,154.09469278166074
600000,363.0,155.74794171568985
625000,328.0,154.36804725972462
650000,343.0,142.04898676853603
675000,385.0,143.22859577082576
700000,390.0,150.5878567645332
725000,381.0,149.571167727885
750000,381.0,143.0854016979451
775000,379.0,146.7793664368567
800000,352.0,149.5916809903004
825000,361.0,147.0394867215996
850000,340.0,145.36145700323453
875000,344.0,147.54442092915977
900000,366.0,145.1336945447145
925000,340.0,148.62189138811036
950000,384.0,148.12785304174824
975000,359.0,151.17073464801229
1000000,344.0,145.54688849451495
