Training Step,Reward,Value Error
12500,0.00392,47.59398944384884
25000,0.0068,136.95433816546574
37500,0.006,173.93802208686247
50000,0.00648,176.33082894654945
62500,0.00672,167.97522212425247
75000,0.00632,169.54902958264574
87500,0.0072,166.90234003961086
100000,0.00648,159.87856653844938
112500,0.0084,155.88568682223558
125000,0.00816,156.82949451403692
137500,0.00752,149.36418120283633
150000,0.01016,140.5074754152447
162500,0.00936,129.7977972133085
175000,0.01016,126.89656529761851
187500,0.00944,120.48028350388631
200000,0.01112,112.80386197054759
212500,0.012,102.93450758466497
225000,0.01304,97.21257207239978
237500,0.01432,93.67212813277729
250000,0.01392,87.7164677772671
262500,0.01528,81.84370627719909
275000,0.01384,76.26989254704677
287500,0.01392,72.87987527786754
300000,0.01432,72.17964970530011
312500,0.016,72.50440476392396
325000,0.01448,71.88030096224975
337500,0.0156,73.12518774869386
350000,0.01296,72.75106191891246
362500,0.01304,71.78045492793899
375000,0.01432,72.00339677650481
387500,0.01424,74.68638814450242
400000,0.01408,73.55150941235479
412500,0.01504,72.80644473840948
425000,0.01368,74.11521790316328
437500,0.01376,72.34724231739528
450000,0.01448,71.30787119630259
462500,0.01352,71.41074331756681
475000,0.01432,72.47883241763338
487500,0.0124,75.95741792523768
500000,0.01336,76.97970280051231
