Training Step,Reward,Value Error
12500,0.004,36.84755503886845
25000,0.0064,105.90491434233263
37500,0.00784,134.223485046532
50000,0.0072,154.2088450663723
62500,0.00752,169.0337001089938
75000,0.00656,173.20615334110335
87500,0.00816,176.89478487428278
100000,0.00608,169.18478689482436
112500,0.00824,155.8984175301157
125000,0.00864,147.57888908637688
137500,0.00864,141.37244851421565
150000,0.01032,133.6456124666147
162500,0.00952,133.9268393178936
175000,0.01112,128.41817578137852
187500,0.01072,124.22875511739403
200000,0.0112,114.96818015538156
212500,0.01176,107.03516125981696
225000,0.0116,96.27038948354311
237500,0.01392,90.89131513051689
250000,0.01168,86.18526397296228
262500,0.0144,78.6892900497187
275000,0.01616,72.8831369758118
287500,0.01528,71.73594508855604
300000,0.01528,72.50999336142559
312500,0.01304,71.45778830931522
325000,0.0156,69.13653429644182
337500,0.01344,69.08516722288914
350000,0.01472,68.68473589827772
362500,0.0164,71.60689821199048
375000,0.0168,72.45189678762108
387500,0.01512,75.06175018218346
400000,0.01576,73.3893688544631
412500,0.01472,73.58197009935975
425000,0.01392,75.43212860100903
437500,0.01376,73.9035866339691
450000,0.01424,71.62540884909686
462500,0.0152,72.47071985027287
475000,0.01424,72.89959156990517
487500,0.01392,73.08295576903038
500000,0.01384,71.50421081995592
