Training Step,Reward,Value Error
12500,0.00288,15.073101979641024
25000,0.0048,49.33561621932313
37500,0.00552,79.69757607602514
50000,0.00736,114.06326145143248
62500,0.00784,133.9747187916655
75000,0.00744,155.51331266202033
87500,0.00712,160.1445547742769
100000,0.00744,148.09668573271483
112500,0.00784,140.05042647151276
125000,0.0076,139.0900117782876
137500,0.0096,141.47528258594684
150000,0.008,135.3593101571314
162500,0.01032,131.6379633920733
175000,0.00768,124.77052850648761
187500,0.01152,119.31659047002904
200000,0.0092,108.48010948998854
212500,0.01136,98.27123346144799
225000,0.01184,92.84130754438229
237500,0.01384,89.22330833855085
250000,0.01376,86.05641851795372
262500,0.0152,81.35334454698022
275000,0.01552,78.21361246623565
287500,0.01488,76.43593074718956
300000,0.01536,73.67189553868957
312500,0.01408,70.7843500901945
325000,0.01488,73.11837264720816
337500,0.01584,74.39514996274374
350000,0.01416,78.66620328591671
362500,0.0148,79.8142335540615
375000,0.01624,75.18142863514367
387500,0.0148,75.446189592476
400000,0.01512,73.06632782018278
412500,0.0148,72.63292919099331
425000,0.01536,75.30298854492139
437500,0.01576,78.56719442852773
450000,0.0148,77.7335929061519
462500,0.01504,76.3774509287905
475000,0.01624,77.63209933240432
487500,0.0164,74.41000487585552
500000,0.01296,76.08104042662308
