Training Step,Reward,Value Error
12500,0.00392,49.11062379804207
25000,0.00536,108.1028855103068
37500,0.00616,121.00355980615132
50000,0.00568,127.38819634681568
62500,0.00528,140.75721797905862
75000,0.00632,160.33556802757084
87500,0.00784,160.83297470537946
100000,0.00664,158.5855980673805
112500,0.00744,149.02029494498856
125000,0.00744,144.94691200950183
137500,0.00904,141.19857167219743
150000,0.00768,136.54031454469077
162500,0.01008,128.50770322745666
175000,0.0104,121.36064861016348
187500,0.00912,114.12945908098482
200000,0.00936,111.60967117967084
212500,0.01056,101.05597474356182
225000,0.01248,97.26653622300364
237500,0.0124,90.15098410577048
250000,0.0148,85.0414849058725
262500,0.01472,78.49870671436656
275000,0.01184,77.5862746607745
287500,0.01288,75.94257715216372
300000,0.0132,76.14520276885014
312500,0.01488,71.12107934284722
325000,0.01512,71.02614495379385
337500,0.01648,72.06854315265082
350000,0.01568,73.70225715544075
362500,0.01504,73.95078244316392
375000,0.01408,78.0750946769258
387500,0.01568,79.9360630796291
400000,0.01424,78.46295723656658
412500,0.01464,70.68965533119626
425000,0.0144,71.16012076870538
437500,0.01504,73.77349098934792
450000,0.01464,77.47791579854675
462500,0.01512,75.03691488632467
475000,0.01584,75.61638414277695
487500,0.01632,73.50083203287795
500000,0.01376,73.7083440378774
