Training Step,Steps,Reward
0,21.744999999999997,0.02
50000,44.175,0.375
100000,35.84,0.5599999999999999
150000,41.155,0.69
200000,43.075,0.6399999999999999
250000,40.155,0.6599999999999999
300000,43.81000000000001,0.6
350000,40.635,0.5800000000000001
400000,46.165,0.63
450000,40.614999999999995,0.7100000000000001
500000,43.62499999999999,0.615
550000,42.904999999999994,0.7550000000000001
600000,45.260000000000005,0.5900000000000001
650000,42.755,0.6799999999999999
700000,50.24999999999999,0.5850000000000001
750000,40.87,0.76
800000,42.58,0.68
850000,42.279999999999994,0.775
900000,43.04,0.6599999999999999
950000,45.84,0.6299999999999999
1000000,44.075,0.72
