Training Step,Steps,Reward
0,20.85,0.015000000000000003
50000,24.305,0.25
100000,42.970000000000006,0.375
150000,39.06,0.36500000000000005
200000,32.345,0.48
250000,29.630000000000003,0.4299999999999999
300000,31.890000000000004,0.505
350000,42.18,0.395
400000,40.845,0.36
450000,32.64,0.495
500000,42.095000000000006,0.45500000000000007
550000,34.09,0.535
600000,42.915,0.495
650000,33.565,0.56
700000,45.644999999999996,0.5
750000,43.364999999999995,0.45
800000,45.57,0.5449999999999999
850000,36.910000000000004,0.5149999999999999
900000,38.400000000000006,0.6100000000000001
950000,34.964999999999996,0.58
1000000,35.290000000000006,0.5599999999999999
