Training Step,Reward,Value Error
25000,95.0,105.06657140940332
50000,124.0,130.14066525602232
75000,158.0,198.10267244137265
100000,198.0,215.06083874334598
125000,180.0,215.3002197518708
150000,212.0,218.2644009596426
175000,216.0,222.7508452511621
200000,305.0,198.7135954867587
225000,307.0,203.11278402667975
250000,312.0,175.1997210064654
275000,356.0,158.63321327448318
300000,383.0,156.37699976162952
325000,372.0,156.3621780035318
350000,367.0,160.4232542394886
375000,355.0,151.92258972243863
400000,373.0,149.84171005245193
425000,371.0,149.04409820074233
450000,362.0,146.5394342389888
475000,371.0,148.18892005372172
500000,387.0,155.55847615629906
525000,341.0,147.78397540215863
550000,392.0,146.66906173636642
575000,355.0,150.60766033243925
600000,356.0,155.95682802794042
625000,384.0,147.11232862935938
650000,368.0,152.15506561186706
675000,406.0,152.65171718846483
700000,414.0,159.19646367940496
725000,368.0,156.65029077706868
750000,418.0,150.8838599383141
775000,367.0,148.6879841934428
800000,364.0,144.25135130573662
825000,382.0,150.62681779582053
850000,374.0,156.33545169702168
875000,382.0,149.14283914384396
900000,354.0,154.41141766859076
925000,387.0,157.51183339868544
950000,349.0,153.00862588097843
975000,367.0,143.4088305643521
1000000,362.0,144.2886980170604
